"","cdata2.year","cdata2.area1","cdata2.street","cdata2.street22"
"4941",2012,"Walsall","Old Birchills Walsall"," "
"4942",2012,"A","Oldbury Rd Rowley Regis"," "
"4943",2012,"A","Oswin Road"," "
"4944",2012,"A","Outside Beswick House"," "
"4945",2012,"A","Outside Home Address"," "
"4946",2012,"A","Outside Home Address"," "
"4947",2012,"A","Outside Retro Bar Lichfield Road"," "
"4948",2012,"A","Outside Vogue"," "
"4949",2012,"Walsall","Outside Vogue Nightclub Walsall"," "
"4950",2012,"A","Outside Ws1"," "
"4951",2012,"A","Outside Ws1"," "
"4952",2012,"A","Outside Ws1 Bridge Street"," "
"4953",2012,"A","Park Street"," "
"4954",2012,"A","Park Street"," "
"4955",2012,"Walsall","Park Union Street Walsall"," "
"4956",2012,"A","Pedmore Road B Hill"," "
"4957",2012,"A","Pedmore Road B Hill"," "
"4958",2012,"A","Pelsall Labour Club Church Road"," "
"4959",2012,"A","Penn Cricket Lane"," "
"4960",2012,"A","Pheasant Ph Car Park"," "
"4961",2012,"A","Pheasant Pub Wednesfield"," "
"4962",2012,"Wolverhampton","Princess Street Wolverhampton"," "
"4963",2012,"Walsall","Queen Public House Walsall"," "
"4964",2012,"Wolverhampton","Queen Square Wolverhampton"," "
"4965",2012,"A","Queen Street Darlaston"," "
"4966",2012,"A","Queslette Road"," "
"4967",2012,"Walsall","Retro Bar Lichfield St Walsall"," "
"4968",2012,"Walsall","Rutherford Road Reedswood Walsall"," "
"4969",2012,"A","Salters Road"," "
"4970",2012,"Sandwell","Sandwell Hospital All Saints Way"," "
"4971",2012,"Wolverhampton","School Street Wolverhampton"," "
"4972",2012,"A","Serve And Save Aldridge"," "
"4973",2012,"A","South Parade Sutton Coldfield"," "
"4974",2012,"Walsall","Spring Road Shelfield Walsall"," "
"4975",2012,"A","St Giles Whall"," "
"4976",2012,"A","St Michaels Street West Brom"," "
"4977",2012,"Walsall","St Pauls Bus Station Walsall"," "
"4978",2012,"Walsall","St Pauls Bus Station Walsall"," "
"4979",2012,"A","St Pauls Road Smethwick"," "
"4980",2012,"Walsall","Stafford St Walsall"," "
"4981",2012,"A","Stafford Street"," "
"4982",2012,"A","Stephenson Avenue Beechdale"," "
"4983",2012,"A","Tamworth Close Brownhills"," "
"4984",2012,"A","Tantarra Street"," "
"4985",2012,"Walsall","Tantarra Street Walsall"," "
"4986",2012,"Walsall","Tasker St Walsall"," "
"4987",2012,"A","Tesco Store Wisemore"," "
"4988",2012,"A","Thimble Mill Pub"," "
"4989",2012,"Walsall","Three Tuns Ph Walsall Road Willenhall"," "
"4990",2012,"A","Tower Road Tividale"," "
"4991",2012,"Birmingham","Travelodge Birmingham Road Walsall"," "
"4992",2012,"Birmingham","Travelodge Birmingham Road"," "
"4993",2012,"A","Treetops Drive Willenhall"," "
"4994",2012,"Walsall","Union Street Walsall Rear Of Croft House"," "
"4995",2012,"A","Upper Bridge St"," "
"4996",2012,"A","Upper Bridge St"," "
"4997",2012,"A","Upper Rushal Street"," "
"4998",2012,"A","Valley Road Bloxwich"," "
"4999",2012,"A","Vernon Way Bloxwich Carpark Of Sneyd Public House"," "
"5000",2012,"A","Victoria Street"," "
"5001",2012,"A","Vogue Nightclub"," "
"5002",2012,"Wolverhampton","Wallace Road Wolverhampton"," "
"5003",2012,"Walsall","Walsall Manor Hospital"," "
"5004",2012,"Walsall","Walsall Manor Hospital"," "
"5005",2012,"Walsall","Walsall Manor Hospital"," "
"5006",2012,"Walsall","Walsall Manor Hospital"," "
"5007",2012,"Walsall","Walsall Police Station"," "
"5008",2012,"Walsall","Walsall Police Station Car Park Green Lane"," "
"5009",2012,"A","Wednesbury Road"," "
"5010",2012,"Walsall","Wednesbury Road Walsall"," "
"5011",2012,"Walsall","West Brom Road Walsall"," "
"5012",2012,"A","Willenhall Library"," "
"5013",2012,"Walsall","Wisemoor St Walsall"," "
"5014",2012,"Walsall","Wisemore Walsall Town Centre"," "
"5015",2012,"A","Wolaston Crt"," "
"5016",2012,"A","Wolevrhampton Train Station"," "
"5017",2012,"Walsall","Wolverhampton Road West Walsall Custody"," "
"5018",2012,"A","Wolverhamton Road West"," "
"5019",2012,"A","Wood Lane Willenhall"," "
"5020",2012,"Wolverhampton","Woolpack Street Wolverhampton"," "
"5021",2012,"Wolverhampton","Alfred Squire Rd Wolverhampton"," "
"5022",2012,"A","All Saints Road"," "
"5023",2012,"A","All Saints Road Wolves"," "
"5024",2012,"A","Alleyway Near To Enville Road"," "
"5025",2012,"Wolverhampton","Asda Jack Hayward Way Wolverhampton"," "
"5026",2012,"A","Asda Wolves Molineaux"," "
"5027",2012,"Dudley","Beech Green Dudley"," "
"5028",2012,"Dudley","Beech Green Dudley"," "
"5029",2012,"Dudley","Beech Green Dudley"," "
"5030",2012,"A","Bet Fred Victoria St"," "
"5031",2012,"A","Billy Wright Ph"," "
"5032",2012,"A","Bilston Road"," "
"5033",2012,"A","Bilston St"," "
"5034",2012,"Wolverhampton","Bilston St Wolverhampton"," "
"5035",2012,"A","Bilston Street"," "
"5036",2012,"A","Bilston Street"," "
"5037",2012,"Wolverhampton","Bilston Street Wolverhampton"," "
"5038",2012,"A","Bilston Street W Ton"," "
"5039",2012,"A","Bilston Stret"," "
"5040",2012,"Birmingham","Birmingham Street Halesowen"," "
"5041",2012,"A","Black Country Route"," "
"5042",2012,"A","Boscobel Crescent"," "
"5043",2012,"A","Bourne Street"," "
"5044",2012,"A","Bournes Hill"," "
"5045",2012,"Walsall","Bradford Place Walsall"," "
"5046",2012,"A","Bradmore Arms Ph"," "
"5047",2012,"Walsall","Bridge St Walsall"," "
"5048",2012,"A","Broad Street"," "
"5049",2012,"Wolverhampton","Broad Street Wolverhampton"," "
"5050",2012,"Wolverhampton","Broad Street Wolverhampton"," "
"5051",2012,"A","Broad Street W Ton"," "
"5052",2012,"A","Bus Station West Bromwich"," "
"5053",2012,"A","Camden Street"," "
"5054",2012,"A","Car Park Royal Oak Compton Road"," "
"5055",2012,"Wolverhampton","Carpark Of Mount Hotel Tettenhall Wolverhampton"," "
"5056",2012,"Wolverhampton","Castle Street Wolverhampton"," "
"5057",2012,"Wolverhampton","Castle Street Wolverhampton"," "
"5058",2012,"Wolverhampton","Castle Yard City Centre Wolverhampton"," "
"5059",2012,"A","Chapel Ash"," "
"5060",2012,"Wolverhampton","Chapel Ash Wolverhampton"," "
"5061",2012,"Wolverhampton","Chapel Ash Wolverhampton"," "
"5062",2012,"Wolverhampton","Chester Street Wolverhampton"," "
"5063",2012,"A","Cineworld"," "
"5064",2012,"A","Cleveland St Wolves"," "
"5065",2012,"A","Cleveland Street"," "
"5066",2012,"A","Connaught Hotel Tettenhall Road"," "
"5067",2012,"Wolverhampton","Csatle Street Wolverhampton"," "
"5068",2012,"A","Darlington Street"," "
"5069",2012,"A","Drummond Street"," "
"5070",2012,"Dudley","Dudley Road"," "
"5071",2012,"Dudley","Dudley Road"," "
"5072",2012,"Dudley","Dudley Road"," "
